"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
358;2;"—";188;"74 48 66";0;"На рассмотрении";1516888;"03.07.2026 в 18:19"
359;2;"—";188;"76 53 58";1;"На рассмотрении";1463080;"02.07.2026 в 10:55"
360;5;"Электронное";187;"46 71 70";0;"Конкурсная группа исключена";1523050;"03.07.2026 в 03:07"
361;2;"—";187;"86 59 42";0;"На рассмотрении";1589746;"04.07.2026 в 08:00"
362;2;"—";186;"72 59 55";0;"Участвуете в конкурсе";1177278;"27.06.2026 в 19:24"
363;4;"—";186;"68 48 70";0;"Участвуете в конкурсе";1275769;"29.06.2026 в 21:59"
364;1;"—";186;"76 56 54";0;"На рассмотрении";1464677;"02.07.2026 в 11:10"
365;1;"—";184;"64 62 58";0;"На рассмотрении";1175330;"03.07.2026 в 21:20"
366;1;"—";184;"76 54 54";0;"Участвуете в конкурсе";1368598;"01.07.2026 в 05:00"
367;7;"—";183;"58 54 70";1;"Конкурсная группа исключена";1243544;"29.06.2026 в 21:22"
368;6;"—";182;"64 64 54";0;"Участвуете в конкурсе";993212;"21.06.2026 в 12:43"
369;1;"Электронное";182;"74 48 60";0;"На рассмотрении";1559587;"03.07.2026 в 17:46"
370;2;"—";180;"72 48 60";0;"На рассмотрении";1501001;"02.07.2026 в 16:59"
371;5;"—";179;"70 54 55";0;"Участвуете в конкурсе";1239292;"30.06.2026 в 07:42"
372;3;"—";178;"52 56 69";1;"На рассмотрении";1614047;"04.07.2026 в 15:44"
373;1;"Электронное";177;"70 43 64";0;"Участвуете в конкурсе";1321171;"30.06.2026 в 13:38"
374;1;"—";176;"64 46 66";0;"Участвуете в конкурсе";1437831;"01.07.2026 в 21:11"
375;7;"—";174;"72 51 51";0;"На рассмотрении";1534035;"03.07.2026 в 10:16"
376;2;"—";172;"58 56 58";0;"Участвуете в конкурсе";1439895;"01.07.2026 в 21:51"
377;3;"—";170;"64 62 43";1;"Участвуете в конкурсе";1188198;"28.06.2026 в 11:33"
378;2;"—";167;"52 51 64";0;"На рассмотрении";1504348;"02.07.2026 в 17:47"
379;5;"—";164;"58 51 55";0;"Участвуете в конкурсе";1257085;"29.06.2026 в 21:38"
380;2;"—";163;"58 39 66";0;"На рассмотрении";1220005;"29.06.2026 в 07:49"
381;3;"—";159;"64 43 52";0;"Участвуете в конкурсе";1385163;"01.07.2026 в 11:05"
382;3;"—";158;"52 48 58";0;"Участвуете в конкурсе";1188031;"28.06.2026 в 12:11"
383;3;"—";155;"58 48 49";0;"На рассмотрении";1502902;"02.07.2026 в 17:25"
384;2;"—";152;"46 46 60";0;"Участвуете в конкурсе";1186353;"28.06.2026 в 10:29"
385;5;"—";146;"52 46 48";0;"На рассмотрении";1487082;"02.07.2026 в 14:38"
386;4;"Электронное";145;"34 40 67";4;"На рассмотрении";944024;"20.06.2026 в 09:09"
387;3;"—";144;"52 44 48";0;"Участвуете в конкурсе";1321013;"30.06.2026 в 12:58"
388;4;"Электронное";142;"70 72";0;"Конкурсная группа исключена";1185037;"28.06.2026 в 09:42"
389;8;"—";142;"72 70";0;"На рассмотрении";1318578;"30.06.2026 в 12:34"
390;1;"—";138;"52 43 43";0;"Передано в вуз";1459075;"05.07.2026 в 12:25"
391;2;"Электронное";134;"64 64";6;"На рассмотрении";1089039;"01.07.2026 в 12:03"
392;1;"—";133;"40 44 49";0;"Участвуете в конкурсе";1205658;"30.06.2026 в 17:03"
393;2;"—";0;"";0;"На рассмотрении";1158042;"26.06.2026 в 22:38"
394;2;"—";0;"";1;"На рассмотрении";1255053;"29.06.2026 в 21:36"
395;3;"—";0;"";0;"На рассмотрении";1319995;"02.07.2026 в 15:33"
396;3;"—";0;"";0;"Конкурсная группа исключена";1430314;"01.07.2026 в 18:54"
397;2;"—";0;"";0;"На рассмотрении";1440983;"01.07.2026 в 22:15"
398;5;"—";0;"";0;"На рассмотрении";1502112;"02.07.2026 в 17:14"
399;2;"—";0;"";0;"На рассмотрении";1528306;"03.07.2026 в 08:48"
400;1;"—";0;"";0;"Передано в вуз";1635887;"05.07.2026 в 13:24"
401;6;"—";0;"";0;"Передано в вуз";1637676;"05.07.2026 в 15:34"
