"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
981;3;"—";195;"76 59 60";0;"Конкурсная группа исключена";1241115;"30.06.2026 в 00:40"
982;2;"—";195;"74 54 67";0;"Участвуете в конкурсе";1267385;"29.06.2026 в 21:53"
983;1;"—";195;"70 62 63";0;"Передано в вуз";1636934;"05.07.2026 в 14:18"
984;4;"—";195;"64 75 55";1;"Конкурсная группа исключена";1282563;"29.06.2026 в 22:02"
985;2;"—";194;"76 64 54";0;"Передано в вуз";943421;"05.07.2026 в 14:14"
986;3;"—";194;"72 56 66";0;"На рассмотрении";1194845;"01.07.2026 в 16:38"
987;5;"—";194;"70 64 60";0;"Участвуете в конкурсе";1295968;"30.06.2026 в 07:25"
988;4;"—";194;"70 51 73";0;"Участвуете в конкурсе";1359820;"30.06.2026 в 21:10"
989;1;"—";194;"76 46 72";0;"Участвуете в конкурсе";1438297;"01.07.2026 в 21:20"
990;5;"—";194;"70 64 60";0;"На рассмотрении";1493623;"02.07.2026 в 16:18"
991;1;"—";194;"64 64 66";0;"На рассмотрении";1500851;"02.07.2026 в 16:57"
992;1;"—";194;"58 75 61";0;"На рассмотрении";1582248;"03.07.2026 в 21:38"
993;1;"—";193;"58 62 73";0;"На рассмотрении";1468451;"02.07.2026 в 11:45"
994;4;"—";192;"64 71 57";0;"На рассмотрении";1497230;"02.07.2026 в 16:19"
995;2;"—";191;"74 56 61";0;"Участвуете в конкурсе";983821;"20.06.2026 в 21:28"
996;3;"—";191;"64 64 63";0;"Участвуете в конкурсе";1250205;"29.06.2026 в 21:30"
997;3;"Электронное";191;"64 70 57";0;"Участвуете в конкурсе";1278086;"29.06.2026 в 21:58"
998;9;"—";191;"64 61 66";0;"Участвуете в конкурсе";1279038;"29.06.2026 в 21:59"
999;3;"—";191;"52 75 64";0;"На рассмотрении";1346244;"01.07.2026 в 11:37"
1000;1;"—";191;"72 70 49";0;"Участвуете в конкурсе";1359503;"30.06.2026 в 21:03"
1001;2;"Электронное";191;"58 64 69";0;"Участвуете в конкурсе";1412674;"01.07.2026 в 15:12"
1002;1;"—";191;"74 59 57";1;"Участвуете в конкурсе";1265955;"29.06.2026 в 21:51"
1003;1;"—";190;"74 56 60";0;"Участвуете в конкурсе";1177213;"27.06.2026 в 20:48"
1004;4;"—";190;"72 51 67";0;"Участвуете в конкурсе";1208892;"28.06.2026 в 20:22"
1005;1;"—";190;"70 59 61";0;"Участвуете в конкурсе";1330678;"30.06.2026 в 15:15"
1006;1;"—";190;"64 72 54";0;"На рассмотрении";1502255;"02.07.2026 в 17:16"
1007;7;"—";190;"72 48 70";0;"На рассмотрении";1570510;"03.07.2026 в 18:34"
1008;5;"—";190;"64 62 64";0;"На рассмотрении";1597546;"04.07.2026 в 10:59"
1009;2;"—";190;"74 67 48";1;"Участвуете в конкурсе";1435472;"01.07.2026 в 20:27"
1010;1;"Электронное";190;"74 54 57";5;"Участвуете в конкурсе";1213379;"28.06.2026 в 22:45"
1011;4;"—";189;"70 56 63";0;"Участвуете в конкурсе";1356078;"30.06.2026 в 19:55"
1012;4;"—";189;"76 70 43";0;"На рассмотрении";1577560;"03.07.2026 в 19:20"
