"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
140;5;"—";244;"86 83 75";0;"На рассмотрении";1304346;"30.06.2026 в 10:14"
141;1;"—";244;"86 83 75";0;"На рассмотрении";1514169;"02.07.2026 в 21:22"
142;4;"Электронное";244;"82 79 83";0;"На рассмотрении";1523870;"03.07.2026 в 14:19"
143;3;"—";244;"82 90 72";0;"На рассмотрении";1573870;"03.07.2026 в 18:49"
144;2;"Электронное";244;"82 79 83";0;"На рассмотрении";1582186;"03.07.2026 в 21:28"
145;1;"—";244;"78 80 86";0;"На рассмотрении";1597103;"04.07.2026 в 10:52"
146;1;"—";244;"86 85 73";0;"На рассмотрении";1616145;"04.07.2026 в 16:36"
147;5;"—";244;"80 83 81";0;"На рассмотрении";1628874;"05.07.2026 в 05:12"
148;4;"—";243;"80 90 73";0;"На рассмотрении";1101400;"02.07.2026 в 11:07"
149;2;"Электронное";243;"84 73 86";0;"На рассмотрении";1166504;"27.06.2026 в 12:23"
150;1;"—";243;"74 75 94";0;"На рассмотрении";1184094;"28.06.2026 в 08:09"
151;5;"—";243;"80 80 83";0;"На рассмотрении";1232375;"29.06.2026 в 21:11"
152;4;"—";243;"80 88 75";0;"На рассмотрении";1383107;"01.07.2026 в 10:46"
153;5;"—";243;"84 80 69";10;"Конкурсная группа исключена";1217880;"29.06.2026 в 07:32"
154;2;"—";243;"72 78 83";10;"Конкурсная группа исключена";1299399;"30.06.2026 в 09:02"
155;3;"Бумажное";242;"84 83 75";0;"На рассмотрении";1135750;"26.06.2026 в 07:49"
156;5;"—";242;"84 85 73";0;"На рассмотрении";1241928;"29.06.2026 в 21:20"
157;2;"—";242;"86 83 73";0;"На рассмотрении";1281415;"01.07.2026 в 15:03"
158;3;"—";242;"84 85 73";0;"На рассмотрении";1295031;"30.06.2026 в 06:55"
159;5;"—";242;"78 83 81";0;"На рассмотрении";1410852;"01.07.2026 в 14:55"
160;3;"—";242;"82 93 67";0;"На рассмотрении";1509426;"02.07.2026 в 19:16"
161;4;"—";242;"84 75 83";0;"На рассмотрении";1549565;"03.07.2026 в 17:03"
162;4;"—";242;"84 72 86";0;"На рассмотрении";1562587;"03.07.2026 в 18:01"
163;2;"—";242;"82 88 72";0;"На рассмотрении";1576357;"03.07.2026 в 19:03"
164;3;"—";242;"76 84 72";10;"На рассмотрении";950593;"30.06.2026 в 04:33"
165;1;"—";241;"78 88 75";0;"На рассмотрении";1008665;"29.06.2026 в 21:38"
166;2;"—";241;"82 84 75";0;"На рассмотрении";1102441;"28.06.2026 в 18:53"
167;5;"—";241;"82 78 81";0;"На рассмотрении";1219211;"29.06.2026 в 21:06"
168;3;"—";241;"84 88 69";0;"На рассмотрении";1341258;"04.07.2026 в 14:04"
169;1;"—";241;"84 85 72";0;"На рассмотрении";1351165;"30.06.2026 в 18:27"
170;2;"—";241;"90 78 73";0;"Участвуете в конкурсе";1351408;"30.06.2026 в 18:31"
171;5;"—";241;"82 86 73";0;"На рассмотрении";1451699;"02.07.2026 в 08:20"
172;3;"—";241;"80 78 83";0;"На рассмотрении";1532807;"03.07.2026 в 10:01"
173;5;"—";241;"82 80 69";10;"На рассмотрении";1448109;"02.07.2026 в 05:47"
174;3;"—";240;"80 88 72";0;"На рассмотрении";1013521;"22.06.2026 в 10:09"
175;5;"—";240;"80 85 75";0;"На рассмотрении";1231064;"29.06.2026 в 21:10"
176;4;"—";240;"88 82 70";0;"На рассмотрении";1276211;"01.07.2026 в 14:13"
177;2;"—";240;"74 85 81";0;"На рассмотрении";1281163;"02.07.2026 в 10:13"
178;5;"—";240;"82 80 78";0;"На рассмотрении";1345999;"30.06.2026 в 17:08"
179;4;"—";240;"84 75 81";0;"На рассмотрении";1509623;"02.07.2026 в 19:20"
180;5;"—";240;"92 76 72";0;"На рассмотрении";1515869;"02.07.2026 в 21:27"
181;4;"—";240;"92 67 81";0;"На рассмотрении";1573459;"03.07.2026 в 18:47"
182;2;"—";240;"80 77 83";0;"Передано в вуз";1596000;"05.07.2026 в 07:49"
183;4;"—";240;"82 85 73";0;"На рассмотрении";1622447;"04.07.2026 в 19:55"
184;5;"—";240;"84 83 73";0;"На рассмотрении";1622667;"04.07.2026 в 20:31"
185;2;"—";240;"82 77 81";0;"Передано в вуз";1635569;"05.07.2026 в 13:15"
186;1;"—";240;"88 78 64";10;"На рассмотрении";1201496;"28.06.2026 в 17:00"
187;4;"—";239;"76 85 78";0;"На рассмотрении";995956;"21.06.2026 в 14:48"
188;4;"—";239;"78 78 83";0;"На рассмотрении";1369107;"01.07.2026 в 05:19"
189;4;"—";239;"70 83 86";0;"На рассмотрении";1409272;"01.07.2026 в 14:41"
190;3;"—";239;"86 80 73";0;"На рассмотрении";1503957;"02.07.2026 в 17:41"
191;3;"—";239;"76 80 83";0;"На рассмотрении";1574260;"03.07.2026 в 18:51"
192;1;"—";239;"78 83 78";0;"На рассмотрении";1595263;"04.07.2026 в 10:22"
193;3;"—";239;"86 83 70";0;"На рассмотрении";1599000;"04.07.2026 в 11:21"
194;5;"—";239;"82 88 69";0;"На рассмотрении";1611834;"04.07.2026 в 18:38"
195;3;"—";239;"80 83 69";7;"На рассмотрении";1202340;"28.06.2026 в 19:17"
196;4;"—";238;"80 85 73";0;"На рассмотрении";1177493;"27.06.2026 в 19:35"
197;4;"—";238;"78 85 75";0;"На рассмотрении";1193153;"28.06.2026 в 13:44"
198;5;"—";238;"88 77 73";0;"На рассмотрении";1308293;"30.06.2026 в 13:40"
199;5;"—";238;"82 90 66";0;"На рассмотрении";1432276;"01.07.2026 в 19:29"
200;5;"—";238;"72 80 86";0;"На рассмотрении";1553698;"03.07.2026 в 18:16"
201;2;"—";238;"80 68 86";4;"На рассмотрении";1166361;"27.06.2026 в 12:19"
202;2;"—";238;"84 72 72";10;"На рассмотрении";1202267;"28.06.2026 в 17:20"
203;3;"—";237;"82 85 70";0;"На рассмотрении";1170002;"30.06.2026 в 08:04"
204;4;"—";237;"97 73 67";0;"На рассмотрении";1217542;"29.06.2026 в 05:47"
205;2;"—";237;"82 80 75";0;"На рассмотрении";1341155;"30.06.2026 в 16:08"
206;4;"—";237;"80 93 64";0;"На рассмотрении";1430033;"04.07.2026 в 15:00"
207;3;"—";237;"76 83 78";0;"На рассмотрении";1430983;"01.07.2026 в 19:06"
208;3;"—";237;"76 78 83";0;"На рассмотрении";1615118;"04.07.2026 в 16:10"
209;1;"—";237;"74 84 69";10;"На рассмотрении";1248821;"29.06.2026 в 21:28"
210;3;"—";236;"78 80 78";0;"На рассмотрении";1185106;"28.06.2026 в 09:27"
211;1;"—";236;"76 85 75";0;"На рассмотрении";1195053;"28.06.2026 в 14:29"
212;5;"—";236;"84 85 67";0;"На рассмотрении";1301829;"01.07.2026 в 12:48"
213;5;"—";236;"78 75 83";0;"На рассмотрении";1349366;"03.07.2026 в 19:32"
214;4;"—";236;"88 70 78";0;"На рассмотрении";1410095;"02.07.2026 в 23:04"
215;3;"—";236;"78 72 86";0;"На рассмотрении";1568143;"03.07.2026 в 19:42"
216;4;"—";236;"72 71 83";10;"На рассмотрении";1155942;"26.06.2026 в 19:39"
217;4;"—";235;"82 83 70";0;"На рассмотрении";1169112;"27.06.2026 в 13:51"
218;3;"—";235;"86 80 69";0;"На рассмотрении";1185150;"28.06.2026 в 10:05"
219;4;"—";235;"78 85 72";0;"На рассмотрении";1294894;"02.07.2026 в 07:05"
220;2;"—";235;"82 83 70";0;"На рассмотрении";1374611;"01.07.2026 в 08:57"
221;4;"—";235;"74 80 81";0;"На рассмотрении";1405668;"01.07.2026 в 14:10"
222;2;"—";235;"82 72 81";0;"На рассмотрении";1508105;"02.07.2026 в 18:52"
223;4;"—";235;"90 70 75";0;"На рассмотрении";1621532;"04.07.2026 в 19:21"
224;2;"—";235;"76 71 78";10;"Участвуете в конкурсе";1189422;"28.06.2026 в 12:10"
225;1;"—";234;"70 83 81";0;"На рассмотрении";1250830;"29.06.2026 в 21:30"
226;5;"—";234;"78 83 73";0;"На рассмотрении";1428378;"01.07.2026 в 18:22"
227;4;"—";234;"84 78 72";0;"На рассмотрении";1522799;"03.07.2026 в 02:22"
228;2;"—";234;"76 83 75";0;"На рассмотрении";1560935;"03.07.2026 в 17:54"
229;4;"Электронное";234;"82 74 69";9;"На рассмотрении";1268934;"29.06.2026 в 21:54"
230;4;"—";233;"84 80 69";0;"Конкурсная группа исключена";1176502;"29.06.2026 в 21:05"
231;3;"—";233;"82 79 72";0;"На рассмотрении";1249713;"29.06.2026 в 21:29"
232;2;"—";233;"78 83 72";0;"На рассмотрении";1250049;"01.07.2026 в 21:36"
233;1;"—";233;"80 78 75";0;"На рассмотрении";1282340;"01.07.2026 в 09:14"
234;4;"—";233;"78 85 70";0;"Передано в вуз";1416540;"05.07.2026 в 10:38"
235;2;"—";233;"74 78 81";0;"На рассмотрении";1425007;"02.07.2026 в 19:59"
236;1;"—";233;"78 77 78";0;"На рассмотрении";1441727;"01.07.2026 в 22:31"
237;4;"Электронное";233;"72 83 78";0;"На рассмотрении";1528192;"03.07.2026 в 21:29"
238;4;"—";233;"86 72 75";0;"На рассмотрении";1594535;"04.07.2026 в 10:10"
239;5;"—";233;"78 64 81";10;"Конкурсная группа исключена";1160671;"30.06.2026 в 06:01"
240;5;"—";232;"74 83 75";0;"На рассмотрении";1181664;"28.06.2026 в 01:01"
241;4;"—";232;"86 80 66";0;"Конкурсная группа исключена";1222345;"29.06.2026 в 08:51"
242;5;"—";232;"76 83 73";0;"На рассмотрении";1265451;"29.06.2026 в 21:50"
243;2;"—";232;"74 67 91";0;"На рассмотрении";1401809;"01.07.2026 в 13:34"
244;1;"—";232;"74 88 70";0;"На рассмотрении";1478291;"02.07.2026 в 13:15"
245;5;"—";232;"74 80 78";0;"Передано в вуз";1618765;"05.07.2026 в 15:34"
246;2;"—";232;"72 75 81";4;"Конкурсная группа исключена";1221843;"29.06.2026 в 08:40"
247;5;"—";231;"76 77 78";0;"На рассмотрении";1124287;"25.06.2026 в 15:10"
248;4;"—";231;"80 78 73";0;"На рассмотрении";1191663;"04.07.2026 в 18:45"
249;5;"—";231;"86 75 70";0;"На рассмотрении";1260747;"29.06.2026 в 21:44"
250;4;"—";231;"78 83 70";0;"На рассмотрении";1403802;"01.07.2026 в 13:52"
251;3;"—";231;"80 78 73";0;"На рассмотрении";1435095;"01.07.2026 в 20:20"
252;1;"—";231;"82 80 69";0;"На рассмотрении";1439629;"03.07.2026 в 20:41"
253;5;"—";231;"76 83 72";0;"На рассмотрении";1447492;"02.07.2026 в 04:48"
254;3;"—";231;"78 80 73";0;"На рассмотрении";1555215;"03.07.2026 в 17:20"
255;4;"—";231;"80 70 81";0;"На рассмотрении";1556977;"03.07.2026 в 17:29"
256;2;"Электронное";231;"80 70 81";0;"На рассмотрении";1588290;"04.07.2026 в 06:07"
257;4;"Электронное";230;"80 80 70";0;"На рассмотрении";1176205;"27.06.2026 в 18:35"
258;1;"Электронное";230;"86 80 64";0;"Передано в вуз";1188071;"05.07.2026 в 10:06"
259;2;"—";230;"74 78 78";0;"На рассмотрении";1188411;"28.06.2026 в 11:39"
260;4;"—";230;"76 82 72";0;"На рассмотрении";1201977;"28.06.2026 в 17:13"
261;4;"—";230;"84 83 63";0;"На рассмотрении";1203216;"28.06.2026 в 17:46"
262;5;"—";230;"80 67 83";0;"На рассмотрении";1208930;"28.06.2026 в 20:23"
263;1;"—";230;"88 78 64";0;"На рассмотрении";1339812;"30.06.2026 в 15:53"
264;4;"—";230;"74 78 78";0;"На рассмотрении";1451244;"04.07.2026 в 08:36"
265;3;"Электронное";230;"82 75 73";0;"Участвуете в конкурсе";1458040;"02.07.2026 в 10:04"
266;4;"—";230;"78 71 81";0;"На рассмотрении";1473144;"02.07.2026 в 12:27"
267;1;"—";230;"82 78 70";0;"На рассмотрении";1572030;"03.07.2026 в 18:40"
268;5;"—";230;"74 80 66";10;"На рассмотрении";1295326;"30.06.2026 в 06:56"
269;4;"—";229;"74 88 67";0;"Участвуете в конкурсе";1404476;"01.07.2026 в 13:59"
270;1;"Электронное";229;"76 72 81";0;"Участвуете в конкурсе";1453531;"02.07.2026 в 09:47"
271;3;"—";229;"84 88 57";0;"На рассмотрении";1544756;"03.07.2026 в 16:21"
272;4;"—";228;"78 83 67";0;"На рассмотрении";1217972;"29.06.2026 в 21:22"
273;1;"—";228;"72 78 78";0;"На рассмотрении";1247169;"01.07.2026 в 17:08"
274;2;"—";228;"78 72 78";0;"На рассмотрении";1327195;"30.06.2026 в 14:05"
275;3;"—";228;"76 80 72";0;"На рассмотрении";1331342;"30.06.2026 в 15:16"
